,Symbol,Name
1031,014710,사조씨푸드
1032,006090,사조오양
1033,452430,사피엔반도체
1034,419120,산돌
1035,062040,산일전기
1036,122350,삼기
1037,419050,삼기이브이
1038,014970,삼륭물산
1039,018310,삼목에스폼
1040,012210,삼미금속
1041,053700,삼보모터스
1042,009620,삼보산업
1043,023600,삼보판지
1044,001470,삼부토건
1045,028050,삼성E&A
1046,448730,삼성FN리츠
1047,006400,삼성SDI
1048,006405,삼성SDI우
1049,006660,삼성공조
1050,028260,삼성물산
1051,02826K,삼성물산우B
1052,207940,삼성바이오로직스
1053,032830,삼성생명
1054,425290,삼성스팩6호
1055,439250,삼성스팩7호
1056,448740,삼성스팩8호
1057,468510,삼성스팩9호
1058,018260,삼성에스디에스
1059,009150,삼성전기
1060,009155,삼성전기우
1061,005930,삼성전자
1062,005935,삼성전자우
1063,001360,삼성제약
1064,010140,삼성중공업
1065,016360,삼성증권
1066,068290,삼성출판사
1067,029780,삼성카드
1068,000810,삼성화재
1069,000815,삼성화재우
1070,006110,삼아알미늄
1071,009300,삼아제약
1072,145990,삼양사
1073,145995,삼양사우
1074,003230,삼양식품
1075,002170,삼양통상
1076,272550,삼양패키징
1077,000070,삼양홀딩스
1078,000075,삼양홀딩스우
1079,003720,삼영
1080,002810,삼영무역
1081,361670,삼영에스앤씨
1082,054540,삼영엠텍
1083,065570,삼영이엔씨
1084,005680,삼영전자
1085,023000,삼원강재
1086,004380,삼익THK
1087,002450,삼익악기
1088,032280,삼일
1089,002290,삼일기업공사
1090,004440,삼일씨엔에스
1091,000520,삼일제약
1092,009770,삼정펄프
1093,037460,삼지전자
1094,032750,삼진
1095,054090,삼진엘앤디
1096,005500,삼진제약
1097,000250,삼천당제약
1098,004690,삼천리
1099,024950,삼천리자전거
1100,038500,삼표시멘트
1101,437730,삼현
1102,017480,삼현철강
1103,010960,삼호개발
1104,046390,삼화네트웍스
1105,004450,삼화왕관
1106,009470,삼화전기
1107,011230,삼화전자
1108,001820,삼화콘덴서
1109,000390,삼화페인트
1110,027580,상보
1111,038540,상상인
1112,415580,상상인제3호스팩
1113,452670,상상인제4호스팩
1114,001290,상상인증권
1115,041650,상신브레이크
1116,091580,상신이디피
1117,263810,상신전자
1118,089980,상아프론테크
1119,042940,상지건설
1120,042600,새로닉스
1121,075180,새론오토모티브
1122,107600,새빗켐
1123,411080,샌즈랩
1124,252990,샘씨엔에스
1125,007540,샘표
1126,248170,샘표식품
1127,378800,샤페론
1128,294630,서남
1129,038070,서린바이오
1130,006730,서부T&D
1131,079650,서산
1132,100660,서암기계공업
1133,007860,서연
1134,200880,서연이화
1135,019770,서연탑메탈
1136,017390,서울가스
1137,043710,서울리거
1138,092190,서울바이오시스
1139,046890,서울반도체
1140,004410,서울식품
1141,004415,서울식품우
1142,063170,서울옥션
1143,027040,서울전자통신
1144,018680,서울제약
1145,021050,서원
1146,093920,서원인텍
1147,189860,서전기전
1148,178320,서진시스템
1149,122690,서진오토모티브
1150,140070,서플러스글로벌
1151,011370,서한
1152,065710,서호전기
1153,008490,서흥
1154,035890,서희건설
1155,357550,석경에이티
1156,003100,선광
1157,007610,선도전기
1158,067370,선바이오
1159,171090,선익시스템
1160,136490,선진
1161,086710,선진뷰티사이언스
1162,014620,성광벤드
1163,037350,성도이엔지
1164,014910,성문전자
1165,014915,성문전자우
1166,003080,성보화학
1167,004980,성신양회
1168,004985,성신양회우
1169,011300,성안머티리얼스
1170,081580,성우전자
1171,045300,성우테크론
1172,015750,성우하이텍
1173,365340,성일하이텍
1174,000180,성창기업지주
1175,080470,성창오토텍
1176,043260,성호전자
1177,148150,세경하이테크
1178,002420,세기상사
1179,188260,세니젠
1180,053060,세동
1181,340440,세림B&G
1182,017510,세명전기
1183,004360,세방
1184,004365,세방우
1185,004490,세방전지
1186,011560,세보엠이씨
